"","NAME","Median Family Income","Total Population","Year","State"
"1","Alabama",52863,4599040,2010,"AL"
"2","Alaska",77886,665870,2010,"AK"
"3","Arizona",59840,6112128,2010,"AZ"
"4","Arkansas",48491,2794148,2010,"AR"
"5","California",69322,35810593,2010,"CA"
"6","Colorado",70046,4773248,2010,"CO"
"7","Connecticut",84170,3428540,2010,"CT"
"8","Delaware",69182,856711,2010,"DE"
"9","District of Columbia",70883,545221,2010,NA
"10","Florida",57204,18094624,2010,"FL"
"11","Georgia",58790,9214377,2010,"GA"
"12","Hawaii",77245,1291747,2010,"HI"
"13","Idaho",54689,1497938,2010,"ID"
"14","Illinois",68236,12437349,2010,"IL"
"15","Indiana",58944,6231398,2010,"IN"
"16","Iowa",61804,2917045,2010,"IA"
"17","Kansas",62424,2729767,2010,"KS"
"18","Kentucky",52046,4160928,2010,"KY"
"19","Louisiana",53702,4303960,2010,"LA"
"20","Maine",58185,1292024,2010,"ME"
"21","Maryland",85098,5558493,2010,"MD"
"22","Massachusetts",81165,6239194,2010,"MA"
"23","Michigan",60341,9716837,2010,"MI"
"24","Minnesota",71307,5106168,2010,"MN"
"25","Mississippi",47031,2848779,2010,"MS"
"26","Missouri",57661,5749227,2010,"MO"
"27","Montana",55725,945313,2010,"MT"
"28","Nebraska",61888,1747881,2010,"NE"
"29","Nevada",64418,2597687,2010,"NV"
"30","New Hampshire",76446,1274476,2010,"NH"
"31","New Jersey",84904,8533093,2010,"NJ"
"32","New Mexico",52565,1970764,2010,"NM"
"33","New York",67405,18636816,2010,"NY"
"34","North Carolina",56153,9012310,2010,"NC"
"35","North Dakota",62920,634679,2010,"ND"
"36","Ohio",59680,11206368,2010,"OH"
"37","Oklahoma",53607,3563497,2010,"OK"
"38","Oregon",60402,3677041,2010,"OR"
"39","Pennsylvania",63364,12183579,2010,"PA"
"40","Rhode Island",70663,1012774,2010,"RI"
"41","South Carolina",54223,4371827,2010,"SC"
"42","South Dakota",58958,766207,2010,"SD"
"43","Tennessee",53246,6082854,2010,"TN"
"44","Texas",58142,23730489,2010,"TX"
"45","Utah",64013,2612864,2010,"UT"
"46","Vermont",64135,599721,2010,"VT"
"47","Virginia",73514,7600728,2010,"VA"
"48","Washington",69328,6420822,2010,"WA"
"49","West Virginia",48896,1792375,2010,"WV"
"50","Wisconsin",64869,5486726,2010,"WI"
"51","Wyoming",65964,532007,2010,"WY"
"52","Puerto Rico",21764,3723023,2010,NA
"53","Alabama",54001,4632923,2011,"AL"
"54","Alaska",80178,675078,2011,"AK"
"55","Arizona",60237,6199144,2011,"AZ"
"56","Arkansas",49791,2817035,2011,"AR"
"57","California",70231,36144015,2011,"CA"
"58","Colorado",71721,4851443,2011,"CO"
"59","Connecticut",86395,3440558,2011,"CT"
"60","Delaware",71133,866338,2011,"DE"
"61","District of Columbia",75710,554412,2011,NA
"62","Florida",57592,18269007,2011,"FL"
"63","Georgia",59262,9345103,2011,"GA"
"64","Hawaii",78757,1304538,2011,"HI"
"65","Idaho",55429,1521101,2011,"ID"
"66","Illinois",69658,12484415,2011,"IL"
"67","Indiana",59857,6267616,2011,"IN"
"68","Iowa",64000,2933475,2011,"IA"
"69","Kansas",64256,2751599,2011,"KS"
"70","Kentucky",53151,4190755,2011,"KY"
"71","Louisiana",55144,4357879,2011,"LA"
"72","Maine",60021,1293004,2011,"ME"
"73","Maryland",87233,5598250,2011,"MD"
"74","Massachusetts",83371,6273699,2011,"MA"
"75","Michigan",60895,9687213,2011,"MI"
"76","Minnesota",73046,5142657,2011,"MN"
"77","Mississippi",48057,2863781,2011,"MS"
"78","Missouri",59020,5782335,2011,"MO"
"79","Montana",57616,954245,2011,"MT"
"80","Nebraska",63758,1761808,2011,"NE"
"81","Nevada",64353,2637539,2011,"NV"
"82","New Hampshire",78310,1276122,2011,"NH"
"83","New Jersey",86779,8565450,2011,"NJ"
"84","New Mexico",53956,1994624,2011,"NM"
"85","New York",69202,18711449,2011,"NY"
"86","North Carolina",57171,9159697,2011,"NC"
"87","North Dakota",65871,641748,2011,"ND"
"88","Ohio",60762,11218814,2011,"OH"
"89","Oklahoma",55296,3603411,2011,"OK"
"90","Oregon",61302,3716178,2011,"OR"
"91","Pennsylvania",65105,12229824,2011,"PA"
"92","Rhode Island",72724,1010718,2011,"RI"
"93","South Carolina",55220,4436123,2011,"SC"
"94","South Dakota",61412,774058,2011,"SD"
"95","Tennessee",54332,6145671,2011,"TN"
"96","Texas",60004,24192972,2011,"TX"
"97","Utah",65646,2670193,2011,"UT"
"98","Vermont",66340,600072,2011,"VT"
"99","Virginia",75962,7685632,2011,"VA"
"100","Washington",71250,6511409,2011,"WA"
"101","West Virginia",50511,1797596,2011,"WV"
"102","Wisconsin",66065,5513806,2011,"WI"
"103","Wyoming",69058,541016,2011,"WY"
"104","Puerto Rico",22296,3703819,2011,NA
"105","Alabama",54326,4662328,2012,"AL"
"106","Alaska",81752,684891,2012,"AK"
"107","Arizona",59563,6268955,2012,"AZ"
"108","Arkansas",50453,2836093,2012,"AR"
"109","California",69883,36504565,2012,"CA"
"110","Colorado",72455,4926643,2012,"CO"
"111","Connecticut",87182,3454351,2012,"CT"
"112","Delaware",72069,875458,2012,"DE"
"113","District of Columbia",78993,565879,2012,NA
"114","Florida",57128,18461796,2012,"FL"
"115","Georgia",59198,9455567,2012,"GA"
"116","Hawaii",79595,1319671,2012,"HI"
"117","Idaho",55636,1538681,2012,"ID"
"118","Illinois",70144,12521273,2012,"IL"
"119","Indiana",60012,6298088,2012,"IN"
"120","Iowa",64772,2948220,2012,"IA"
"121","Kansas",64731,2771928,2012,"KS"
"122","Kentucky",53833,4214511,2012,"KY"
"123","Louisiana",56047,4402312,2012,"LA"
"124","Maine",60408,1293440,2012,"ME"
"125","Maryland",88092,5645634,2012,"MD"
"126","Massachusetts",84380,6316953,2012,"MA"
"127","Michigan",60749,9667270,2012,"MI"
"128","Minnesota",74032,5177138,2012,"MN"
"129","Mississippi",48300,2874898,2012,"MS"
"130","Missouri",59395,5808612,2012,"MO"
"131","Montana",58951,962040,2012,"MT"
"132","Nebraska",64820,1776057,2012,"NE"
"133","Nevada",62789,2668131,2012,"NV"
"134","New Hampshire",79488,1277491,2012,"NH"
"135","New Jersey",87389,8606711,2012,"NJ"
"136","New Mexico",54221,2012699,2012,"NM"
"137","New York",69968,18810163,2012,"NY"
"138","North Carolina",57146,9286780,2012,"NC"
"139","North Dakota",68293,651023,2012,"ND"
"140","Ohio",61163,11226654,2012,"OH"
"141","Oklahoma",56068,3638185,2012,"OK"
"142","Oregon",61438,3750575,2012,"OR"
"143","Pennsylvania",65980,12271822,2012,"PA"
"144","Rhode Island",72872,1009824,2012,"RI"
"145","South Carolina",55058,4490811,2012,"SC"
"146","South Dakota",62967,782064,2012,"SD"
"147","Tennessee",54737,6200650,2012,"TN"
"148","Texas",60621,24625722,2012,"TX"
"149","Utah",66014,2720508,2012,"UT"
"150","Vermont",67274,600360,2012,"VT"
"151","Virginia",76566,7773620,2012,"VA"
"152","Washington",71939,6598031,2012,"WA"
"153","West Virginia",51770,1801372,2012,"WV"
"154","Wisconsin",66415,5537612,2012,"WI"
"155","Wyoming",70013,549070,2012,"WY"
"156","Puerto Rico",22801,3678464,2012,NA
"157","Alabama",54362,4683880,2013,"AL"
"158","Alaska",82870,693856,2013,"AK"
"159","Arizona",58897,6335998,2013,"AZ"
"160","Arkansas",50759,2852772,2013,"AR"
"161","California",69661,36843355,2013,"CA"
"162","Colorado",72687,5002024,2013,"CO"
